Reef_ID,reef_name,not_zoned,buffer,commonwealth_island_GBRMPA,conservation_park,general_use,habitat_protection,marine_national_park,preservation,scientific_research,total_area_nine_zones,minimum_distance_to_nearest_port_m,GBRMPA_management_area,subregion,qfish,region_code
65,U/N Reef,0,0,0,0,0,2.027679614,0,0,0,2.027679614,111496.4299,Far Northern Management Area,Torres Strait,59058,E
66,U/N Reef,0,0,0,0,0,2.343075357,0,0,0,2.343075357,108811.2345,Far Northern Management Area,Torres Strait,59058,E
67,U/N Reef,0,0,0,0,0.208325707,0,0,0,0,0.208325707,132365.0082,Far Northern Management Area,Torres Strait,59058,E
68,U/N Reef,0,0,0,0,0.104234692,0,0,0,0,0.104234692,138423.0602,Far Northern Management Area,Torres Strait,59058,E
69,U/N Reef,0,0,0,0,0.047404704,0,0,0,0,0.047404704,141294.4016,Far Northern Management Area,Torres Strait,59058,E
70,U/N Reef,0,0,0,0,0,3.83975148,0,0,0,3.83975148,109580.224,Far Northern Management Area,Torres Strait,59058,E
71,U/N Reef,0,0,0,0,0,0,0.197651407,0,0,0.197651407,148336.468,Far Northern Management Area,Torres Strait,59059,E
72,U/N Reef,0,0,0,0,0,0,3.156293382,0,0,3.156293382,193517.1514,Far Northern Management Area,Torres Strait,59059,E
73,U/N Reef,0,0,0,0,0,4.201923356,0,0,0,4.201923356,172607.8139,Far Northern Management Area,Torres Strait,59059,E
74,U/N Reef,0,0,0,0,0,0,9.948745002,0,0,9.948745002,193335.543,Far Northern Management Area,Torres Strait,59059,E
75,U/N Reef,0,0,0,0,0,0,2.084008087,0,0,2.084008087,193321.2053,Far Northern Management Area,Torres Strait,59059,E
76,U/N Reef,0,0,0,0,0,0,4.605529319,0,0,4.605529319,194913.75,Far Northern Management Area,Torres Strait,59059,E
77,U/N Reef,0,0,0,0,0,3.573806302,0,0,0,3.573806302,143847.9611,Far Northern Management Area,Torres Strait,59059,E
78,U/N Reef,0,0,0,0,0,0,1.419244764,0,0,1.419244764,194338.4088,Far Northern Management Area,Torres Strait,59059,E
79,U/N Reef,0,0,0,0,0,0,4.058629166,0,0,4.058629166,195016.4519,Far Northern Management Area,Torres Strait,59059,E
80,Triangle Reef,0,0,0,0,0,0,11.04712776,0,0,11.04712776,196818.9116,Far Northern Management Area,Torres Strait,59060,E
81,U/N Reef,0,0,0,0,0,10.78155754,0,0,0,10.78155754,156884.79,Far Northern Management Area,Torres Strait,59059,E
82,U/N Reef,0,0,0,0,0.19029341,0,0,0,0,0.19029341,168452.7696,Far Northern Management Area,Torres Strait,59059,E
83,U/N Reef,0,0,0,0,0,2.36181822,0,0,0,2.36181822,143476.3164,Far Northern Management Area,Torres Strait,59059,E
84,U/N Reef,0,0,0,0,0.710061125,0,0,0,0,0.710061125,165113.2243,Far Northern Management Area,Torres Strait,59059,E
85,U/N Reef,0,0,0,0,0.257528368,0,0,0,0,0.257528368,166127.8987,Far Northern Management Area,Torres Strait,59059,E
86,U/N Reef,0,0,0,0,0.107930633,0,0,0,0,0.107930633,180925.4829,Far Northern Management Area,Torres Strait,59059,E
87,U/N Reef,0,0,0,0,0,0,3.965384881,0,0,3.965384881,195517.3938,Far Northern Management Area,Torres Strait,59060,E
88,U/N Reef,0,0,0,0,0,0,4.628680595,0,0,4.628680595,196270.1323,Far Northern Management Area,Torres Strait,59060,E
89,U/N Reef,0,0,0,0,0,0,3.662499339,0,0,3.662499339,197464.8,Far Northern Management Area,Torres Strait,59060,E
31,U/N Reef,0,0,0,0,1.04472844,0,0,0,0,1.04472844,176771.3958,Far Northern Management Area,Torres Strait,59059,E
32,U/N Reef,0,0,0,0,0,0,6.644563554,0,0,6.644563554,199212.2175,Far Northern Management Area,Torres Strait,59060,E
33,U/N Reef,0,0,0,0,0,0,4.339748023,0,0,4.339748023,198689.233,Far Northern Management Area,Torres Strait,59060,E
34,U/N Reef,0,0,0,0,0,2.594624565,0,0,0,2.594624565,179553.0007,Far Northern Management Area,Torres Strait,59059,E
35,U/N Reef,0,0,0,0,0.120996384,0,0,0,0,0.120996384,173209.0163,Far Northern Management Area,Torres Strait,59059,E
36,U/N Reef,0,0,0,0,0,6.478941981,0,0,0,6.478941981,200700.0024,Far Northern Management Area,Torres Strait,59060,E
37,U/N Reef,0,0,0,0,0,1.466331114,0,0,0,1.466331114,198620.3366,Far Northern Management Area,Torres Strait,59059,E
111,U/N Reef,0,0,0,0,0,0.658555195,0,0,0,0.658555195,199502.7066,Far Northern Management Area,Torres Strait,59060,E
112,U/N Reef,0,0,0,0,0,0,0.018661544,0,0,0.018661544,162001.3663,Far Northern Management Area,Torres Strait,59059,E
113,U/N Reef,0,0,0,0,0.84269336,0,0,0,0,0.84269336,168313.0662,Far Northern Management Area,Torres Strait,59059,E
114,U/N Reef,0,0,0,0,0,3.230425945,0,0,0,3.230425945,177686.3597,Far Northern Management Area,Torres Strait,59059,E
115,U/N Reef,0,0,0,0,0,10.65319174,0,0,0,10.65319174,139997.4862,Far Northern Management Area,Torres Strait,59059,E
116,U/N Reef,0,0,0,0,0,0,5.398864512,0,0,5.398864512,157713.0686,Far Northern Management Area,Torres Strait,59059,E
117,U/N Reef,0,0,0,0,0,13.53274108,0,0,0,13.53274108,201393.1393,Far Northern Management Area,Torres Strait,59060,E
118,U/N Reef,0,0,0,0,0,0,4.233816635,0,0,4.233816635,152875.5565,Far Northern Management Area,Torres Strait,59059,E
119,U/N Reef,0,0,0,0,0,12.0194398,0,0,0,12.0194398,202826.5485,Far Northern Management Area,Torres Strait,59060,E
120,U/N Reef,0,0,0,0,0,0,2.394090116,0,0,2.394090116,154141.8198,Far Northern Management Area,Torres Strait,59059,E
121,U/N Reef,0,0,0,0,0,0.455117866,0,0,0,0.455117866,204024.6544,Far Northern Management Area,Torres Strait,59060,E
122,U/N Reef,0,0,0,0,0,7.605058981,0,0,0,7.605058981,205594.5354,Far Northern Management Area,Torres Strait,59060,E
123,U/N Reef,0,0,0,0,0,0,4.862763297,0,0,4.862763297,142846.812,Far Northern Management Area,Torres Strait,59058,E
124,U/N Reef,0,0,0,0,0,7.551730281,0,0,0,7.551730281,206003.12,Far Northern Management Area,Cape York Peninsula,59073,E
125,U/N Reef,0,0,0,0,0,5.116813791,0,0,0,5.116813791,205580.8,Far Northern Management Area,Torres Strait,59060,E
126,U/N Reef,0,0,0,0,0,3.918186983,0,0,0,3.918186983,204333.7164,Far Northern Management Area,Cape York Peninsula,59073,E
127,U/N Reef,0,0,0,0,0,0.967071101,0,0,0,0.967071101,204885.8414,Far Northern Management Area,Cape York Peninsula,59073,E
128,U/N Reef,0,0,0,0,0,4.41432046,0,0,0,4.41432046,203200.764,Far Northern Management Area,Cape York Peninsula,59073,E
129,U/N Reef,0,0,0,0,0.024039276,0,0,0,0,0.024039276,134732.4437,Far Northern Management Area,Torres Strait,59058,E
