id,reef_uniqueid,reef_name,not_zoned,buffer,commonwealth_island_GBRMPA,conservation_park,general_use,habitat_protection,marine_national_park,preservation,scientific_research,total_area_nine_zones,minimum_distance_to_nearest_port_m,GBRMPA_management_area,subregion,qfish,region_code
76,10394100104,U/N Reef,0,0,0,0,0,0,2.36181822,0,0,2.36181822,143476.3164,Far Northern,Torres Strait,59059,E
77,10395100104,U/N Reef,0,0,0,0,0,0.710061125,0,0,0,0.710061125,165113.2243,Far Northern,Torres Strait,59059,E
78,10396100104,U/N Reef,0,0,0,0,0,0.257528368,0,0,0,0.257528368,166127.8987,Far Northern,Torres Strait,59059,E
79,10397100104,U/N Reef,0,0,0,0,0,0.107930633,0,0,0,0.107930633,180925.4829,Far Northern,Torres Strait,59059,E
80,10398100104,U/N Reef,0,0,0,0,0,0,0,3.965384881,0,3.965384881,195517.3938,Far Northern,Torres Strait,59060,E
81,10399100104,U/N Reef,0,0,0,0,0,0,0,4.628680595,0,4.628680595,196270.1323,Far Northern,Torres Strait,59060,E
82,10400100104,U/N Reef,0,0,0,0,0,0,0,3.662499339,0,3.662499339,197464.8,Far Northern,Torres Strait,59060,E
83,10401100104,U/N Reef,0,0,0,0,0,1.04472844,0,0,0,1.04472844,176771.3958,Far Northern,Torres Strait,59059,E
84,10402100104,U/N Reef,0,0,0,0,0,0,0,6.644563554,0,6.644563554,199212.2175,Far Northern,Torres Strait,59060,E
85,10403100104,U/N Reef,0,0,0,0,0,0,0.111422035,4.228325988,0,4.339748023,198689.233,Far Northern,Torres Strait,59060,E
86,10404100104,U/N Reef,0,0,0,0,0,0,2.594624565,0,0,2.594624565,179553.0007,Far Northern,Torres Strait,59059,E
87,10405100104,U/N Reef,0,0,0,0,0,0.120996384,0,0,0,0.120996384,173209.0163,Far Northern,Torres Strait,59059,E
88,10406100104,U/N Reef,0,0,0,0,0,0,6.478029652,0.000912329,0,6.478941981,200700.0024,Far Northern,Torres Strait,59060,E
89,10407101104,U/N Reef,0,0,0,0,0,0,1.466331114,0,0,1.466331114,198620.3366,Far Northern,Torres Strait,59059,E
90,10407102104,U/N Reef,0,0,0,0,0,0,0.658555195,0,0,0.658555195,199502.7066,Far Northern,Torres Strait,59060,E
91,10408100104,U/N Reef,0,0,0,0,0,0,0,0.018661544,0,0.018661544,162001.3663,Far Northern,Torres Strait,59059,E
92,10409100104,U/N Reef,0,0,0,0,0,0.84269336,0,0,0,0.84269336,168313.0662,Far Northern,Torres Strait,59059,E
93,10410100104,U/N Reef,0,0,0,0,0,0,3.230425945,0,0,3.230425945,177686.3597,Far Northern,Torres Strait,59059,E
94,10411100104,U/N Reef,0,0,0,0,0,0,10.65319174,0,0,10.65319174,139997.4862,Far Northern,Torres Strait,59059,E
95,10411102104,U/N Reef,0,0,0,0,0,0,0,5.398864512,0,5.398864512,157713.0686,Far Northern,Torres Strait,59059,E
96,10412100104,U/N Reef,0,0,0,0,0,0,13.53274108,0,0,13.53274108,201393.1393,Far Northern,Torres Strait,59060,E
97,10413100104,U/N Reef,0,0,0,0,0,0,0,4.233816635,0,4.233816635,152875.5565,Far Northern,Torres Strait,59059,E
98,10414100104,U/N Reef,0,0,0,0,0,0,12.0194398,0,0,12.0194398,202826.5485,Far Northern,Torres Strait,59060,E
99,10415100104,U/N Reef,0,0,0,0,0,0,0,2.394090116,0,2.394090116,154141.8198,Far Northern,Torres Strait,59059,E
100,10416101104,U/N Reef,0,0,0,0,0,0,0.455117866,0,0,0.455117866,204024.6544,Far Northern,Torres Strait,59060,E
101,10416102104,U/N Reef,0,0,0,0,0,0,7.605058981,0,0,7.605058981,205594.5354,Far Northern,Torres Strait,59060,E
102,10417100104,U/N Reef,0,0,0,0,0,0,0,4.862763297,0,4.862763297,142846.812,Far Northern,Torres Strait,59058,E
103,10418101104,U/N Reef,0,0,0,0,0,0,7.551730281,0,0,7.551730281,206003.12,Far Northern,Cape York Peninsula,59073,E
104,10418102104,U/N Reef,0,0,0,0,0,0,5.116813791,0,0,5.116813791,205580.8,Far Northern,Torres Strait,59060,E
105,10419101104,U/N Reef,0,0,0,0,0,0,3.918186983,0,0,3.918186983,204333.7164,Far Northern,Cape York Peninsula,59073,E
106,10419102104,U/N Reef,0,0,0,0,0,0,0.967071101,0,0,0.967071101,204885.8414,Far Northern,Cape York Peninsula,59073,E
107,10420100104,U/N Reef,0,0,0,0,0,0,4.41432046,0,0,4.41432046,203200.764,Far Northern,Cape York Peninsula,59073,E
108,10421100104,U/N Reef,0,0,0,0,0,0.024039276,0,0,0,0.024039276,134732.4437,Far Northern,Torres Strait,59058,E
109,10422100104,U/N Reef,0,0,0,0,0,0.024120062,0,0,0,0.024120062,127462.0583,Far Northern,Torres Strait,59058,E
110,10423100104,U/N Reef,0,0,0,0,0,0,0,0.1699603,0,0.1699603,165272.5824,Far Northern,Torres Strait,59059,E
111,10424100104,U/N Reef,0,0,0,0,0,0.124397486,0,0,0,0.124397486,175289.8868,Far Northern,Torres Strait,59059,E
112,10425100104,U/N Reef,0,0,0,0,0,0,0,0.414360628,0,0.414360628,150279.8497,Far Northern,Torres Strait,59059,E
113,10426100104,U/N Reef,0,0,0,0,0,0,5.661195489,0,0,5.661195489,202967.6341,Far Northern,Torres Strait,59060,E
114,10427100104,U/N Reef,0,0,0,0,0,0.104880587,0,0,0,0.104880587,149044.1798,Far Northern,Torres Strait,59059,E
115,10428101104,U/N Reef,0,0,0,0,0,0,0,0.30833374,0,0.30833374,199668.671,Far Northern,Torres Strait,59060,E
116,10428102104,U/N Reef,0,0,0,0,0,0,0.21080898,0.682156323,0,0.892965303,200452.7417,Far Northern,Torres Strait,59060,E
117,10430100104,U/N Reef,9.81E-05,0,0,0,0,0,0.256599954,0,0,0.256698037,42918.24088,Far Northern,Cape York Peninsula,59057,E
118,10431100104,U/N Reef,6.25E-06,0,0,0,0,0,0.15895284,0,0,0.158959092,46841.16026,Far Northern,Cape York Peninsula,59057,E
119,10432100104,U/N Reef,0.456992454,0,0,0,0,0,0.561918673,0,0,1.018911127,46498.27764,Far Northern,Cape York Peninsula,59057,E
120,10434100104,U/N Reef,7.80E-05,0,0,0,0,0,0.424193433,0,0,0.424271398,46735.6403,Far Northern,Torres Strait,59057,E
121,10436100104,U/N Reef,0,0,0,0,0,0,0,0.004205344,0,0.004205344,131878.8144,Far Northern,Torres Strait,59058,E
122,10437100104,U/N Reef,0,0,0,0,0,0,0,1.802415339,0,1.802415339,141142.6655,Far Northern,Torres Strait,59058,E
123,10438100104,U/N Reef,0,0,0,0,0,0.005897998,0,0.000537243,0,0.006435241,152891.4927,Far Northern,Torres Strait,59059,E
124,10439100104,U/N Reef,0,0,0,0,0,0.312338816,0,0,0,0.312338816,160553.6448,Far Northern,Cape York Peninsula,59072,E
125,10440100104,U/N Reef,0,0,0,0,0,1.385412377,0,0,0,1.385412377,171933.8917,Far Northern,Torres Strait,59059,E
126,10442100104,U/N Reef,0,0,0,0,0,0.007386883,0,0,0,0.007386883,179402.6589,Far Northern,Torres Strait,59059,E
127,10443100104,U/N Reef,0,0,0,0,0,0,0,0.05745374,0,0.05745374,193542.755,Far Northern,Torres Strait,59059,E
